Time,id,Treatment,Diet,combo,Shannon,Faith,Evenness,OTUs,Combo_ratio,Ratio,Ratio_Treatment,Ratio_Diet,Ratio_time,Ratio_ID
41,27,ATCC,WD,ATCC/WD,4.929025801,28.8630369,0.753770621,85,WD.ATCC,3.871803732,ATCC,WD,41,10
41,44,ATCC,WD,ATCC/WD,4.726284002,29.09404079,0.717738939,122,WD.ATCC,3.150507328,ATCC,WD,41,11
41,11,ATCC,WD,ATCC/WD,5.140472288,25.81617814,0.808561579,93,WD.ATCC,2.828990228,ATCC,WD,41,12
41,25,ATCC,WD,ATCC/WD,4.88658171,27.82739828,0.762409683,90,WD.ATCC,3.537705723,ATCC,WD,41,25
41,41,ATCC,WD,ATCC/WD,5.039488035,33.50315218,0.741710271,111,WD.ATCC,4.175430118,ATCC,WD,41,26
41,28,ATCC,WD,ATCC/WD,5.045609365,28.16615223,0.777221741,119,WD.ATCC,2.675604627,ATCC,WD,41,27
41,26,ATCC,WD,ATCC/WD,5.059724459,33.69417056,0.730041295,119,WD.ATCC,2.561899791,ATCC,WD,41,28
41,43,ATCC,WD,ATCC/WD,4.908144521,33.87754515,0.711859934,96,WD.ATCC,6.901589242,ATCC,WD,41,41
41,47,ATCC,WD,ATCC/WD,3.917182991,32.2029439,0.601921727,140,WD.ATCC,4.682560653,ATCC,WD,41,42
41,29,ATCC,CD,ATCC/CD,3.997641856,41.96835991,0.568377852,119,WD.ATCC,4.596624932,ATCC,WD,41,43
41,15,ATCC,CD,ATCC/CD,4.22927136,39.6167595,0.613398571,132,WD.ATCC,6.757146177,ATCC,WD,41,44
41,31,ATCC,CD,ATCC/CD,4.214002647,40.3449042,0.60103638,131,WD.ATCC,5.736103313,ATCC,WD,41,9
41,16,ATCC,CD,ATCC/CD,4.809189689,41.14445644,0.68269742,129,WD.BBS,2.855814439,BBS,WD,41,1
41,46,ATCC,CD,ATCC/CD,4.3666589,39.46197909,0.625839718,94,WD.BBS,4.186603895,BBS,WD,41,17
41,48,ATCC,CD,ATCC/CD,3.841867464,38.14237499,0.560203866,122,WD.BBS,4.058513189,BBS,WD,41,18
41,13,ATCC,CD,ATCC/CD,4.076309678,41.75917022,0.571769934,126,WD.BBS,5.153195807,BBS,WD,41,19
41,32,ATCC,CD,ATCC/CD,3.731147169,32.53862569,0.569241985,91,WD.BBS,4.668319808,BBS,WD,41,2
41,45,ATCC,CD,ATCC/CD,4.711223882,37.47037225,0.679757961,116,WD.BBS,2.888651752,BBS,WD,41,20
65,1,ATCC,CD,ATCC/CD,4.679960989,27.66997498,0.734106987,83,WD.BBS,2.257344597,BBS,WD,41,3
65,34,BBS,WD,BBS/WD,4.667857767,27.58481476,0.719033179,91,WD.BBS,3.998760535,BBS,WD,41,33
65,2,BBS,WD,BBS/WD,4.896355871,31.64994561,0.723437134,126,WD.BBS,2.7743309,BBS,WD,41,34
65,17,BBS,WD,BBS/WD,4.824488947,28.47462461,0.741340072,86,WD.BBS,8.700487805,BBS,WD,41,35
65,36,BBS,WD,BBS/WD,4.661925682,28.60082453,0.712924371,109,WD.BBS,2.588304685,BBS,WD,41,36
65,3,BBS,WD,BBS/WD,5.125348648,29.9313405,0.761802801,96,WD.BBS,2.796942344,BBS,WD,41,4
65,19,BBS,WD,BBS/WD,4.400109507,28.69918254,0.684707163,106,CD.ATCC,1.493349901,ATCC,CD,65,13
65,33,BBS,WD,BBS/WD,5.186730413,32.17464129,0.780680717,100,CD.ATCC,0.875547986,ATCC,CD,65,15
65,20,BBS,WD,BBS/WD,5.076993325,27.99135272,0.770998062,90,CD.ATCC,1.402819999,ATCC,CD,65,16
65,4,BBS,WD,BBS/WD,4.410961544,28.74747989,0.666841275,100,CD.ATCC,1.039992695,ATCC,CD,65,29
65,18,BBS,WD,BBS/WD,4.615930299,35.69054185,0.661565875,81,CD.ATCC,1.217254338,ATCC,CD,65,31
65,35,BBS,WD,BBS/WD,4.833990585,31.40459207,0.727588082,98,CD.ATCC,2.486882551,ATCC,CD,65,32
65,22,BBS,WD,BBS/WD,5.046216569,42.17499513,0.702824577,146,CD.ATCC,0.758306334,ATCC,CD,65,45
65,5,BBS,CD,BBS/CD,4.048270207,40.02655452,0.569495151,145,CD.ATCC,2.899687918,ATCC,CD,65,46
65,8,BBS,CD,BBS/CD,4.027882285,45.23241623,0.552171583,91,CD.ATCC,1.423384689,ATCC,CD,65,47
65,38,BBS,CD,BBS/CD,5.528074098,40.46992599,0.773184562,101,CD.ATCC,2.242001641,ATCC,CD,65,48
65,23,BBS,CD,BBS/CD,3.873363826,31.5778588,0.595188392,159,CD.BBS,2.087772512,BBS,CD,65,21
65,7,BBS,CD,BBS/CD,5.14498914,36.24839739,0.746211041,142,CD.BBS,1.731964024,BBS,CD,65,22
65,40,BBS,CD,BBS/CD,4.059937509,44.0731946,0.56238298,105,CD.BBS,0.793622805,BBS,CD,65,23
65,39,BBS,CD,BBS/CD,4.600085713,35.18870626,0.68512325,149,CD.BBS,1.47306551,BBS,CD,65,24
65,24,BBS,CD,BBS/CD,3.672391325,33.92835554,0.551558228,138,CD.BBS,1.875795908,BBS,CD,65,37
65,6,BBS,CD,BBS/CD,4.876936207,37.00909724,0.695589521,129,CD.BBS,1.885958192,BBS,CD,65,38
65,21,BBS,CD,BBS/CD,4.889194347,38.65878069,0.680015807,119,CD.BBS,1.121162545,BBS,CD,65,39
65,37,BBS,CD,BBS/CD,3.979559704,44.78039077,0.544184794,157,CD.BBS,1.611655285,BBS,CD,65,40
65,10,BBS,CD,BBS/CD,4.732335316,23.27298877,0.794789938,62,CD.BBS,0.993900944,BBS,CD,65,5
65,12,ATCC,WD,ATCC/WD,4.916316752,28.33464798,0.748314277,96,CD.BBS,1.507628642,BBS,CD,65,6
65,42,ATCC,WD,ATCC/WD,5.051386354,30.48183549,0.74204833,95,CD.BBS,1.159363983,BBS,CD,65,7
65,27,ATCC,WD,ATCC/WD,4.962153413,30.84018655,0.742115161,85,CD.BBS,1.218543046,BBS,CD,65,8
65,44,ATCC,WD,ATCC/WD,5.140717241,33.47979288,0.755171032,118,WD.ATCC,6.080388693,ATCC,WD,65,10
65,11,ATCC,WD,ATCC/WD,4.960641779,29.3370429,0.753328782,103,WD.ATCC,3.315210262,ATCC,WD,65,11
65,25,ATCC,WD,ATCC/WD,4.95441082,28.38179035,0.772992453,90,WD.ATCC,4.226844077,ATCC,WD,65,12
65,41,ATCC,WD,ATCC/WD,4.865761524,33.5561732,0.713436048,113,WD.ATCC,2.46303705,ATCC,WD,65,25
65,28,ATCC,WD,ATCC/WD,4.989216284,29.6690546,0.768534995,112,WD.ATCC,7.031753611,ATCC,WD,65,26
65,26,ATCC,WD,ATCC/WD,4.979077724,33.26471412,0.723425244,112,WD.ATCC,3.79863516,ATCC,WD,65,27
65,43,ATCC,WD,ATCC/WD,4.909280512,32.99923506,0.721172991,112,WD.ATCC,3.058429119,ATCC,WD,65,28
65,47,ATCC,WD,ATCC/WD,5.588413444,45.07770478,0.753373491,158,WD.ATCC,5.815518813,ATCC,WD,65,41
