Mouse_Food,Time,Diet,Treatment,calories,Water_weight,Ratio_cal_weight,Ratio_wat_bodyweight
46,four,CD,ATCC,105,26,3.888888889,0.962962963
47,four,CD,ATCC,96,23,4,0.958333333
48,four,CD,ATCC,108,30,3.724137931,1.034482759
1,five,WD,BBS,117,21,3.774193548,0.677419355
2,five,WD,BBS,90,18,3.103448276,0.620689655
3,five,WD,BBS,72,13,3,0.541666667
4,five,WD,BBS,81,17,3.375,0.708333333
17,five,WD,BBS,99,26,3.09375,0.8125
18,five,WD,BBS,81,17,2.53125,0.53125
19,five,WD,BBS,103.5,15,2.957142857,0.428571429
20,five,WD,BBS,94.5,21,3.375,0.75
33,five,WD,BBS,94.5,20,3.048387097,0.64516129
34,five,WD,BBS,90,20,3.103448276,0.689655172
35,five,WD,BBS,99,18,3.193548387,0.580645161
36,five,WD,BBS,85.5,19,2.671875,0.59375
5,five,CD,BBS,93,20,3.321428571,0.714285714
6,five,CD,BBS,99,22,3.807692308,0.846153846
7,five,CD,BBS,93,21,3.444444444,0.777777778
8,five,CD,BBS,96,19,3.428571429,0.678571429
21,five,CD,BBS,72,24,3,1
22,five,CD,BBS,99,27,3.666666667,1
23,five,CD,BBS,81,24,2.793103448,0.827586207
24,five,CD,BBS,105,25,3.75,0.892857143
37,five,CD,BBS,93,28,3.576923077,1.076923077
38,five,CD,BBS,84,28,3,1
39,five,CD,BBS,87,32,3.222222222,1.185185185
40,five,CD,BBS,69,21,2.76,0.84
9,five,WD,ATCC,72,15,2.769230769,0.576923077
10,five,WD,ATCC,103.5,20,3.234375,0.625
11,five,WD,ATCC,90,21,3.214285714,0.75
12,five,WD,ATCC,99,16,2.75,0.444444444
25,five,WD,ATCC,90,22,3,0.733333333
26,five,WD,ATCC,76.5,17,3.06,0.68
27,five,WD,ATCC,81,17,3.52173913,0.739130435
28,five,WD,ATCC,90,17,3.214285714,0.607142857
41,five,WD,ATCC,72,19,3.130434783,0.826086957
42,five,WD,ATCC,76.5,19,3.1875,0.791666667
43,five,WD,ATCC,94.5,21,3.15,0.7
44,five,WD,ATCC,90,18,3.214285714,0.642857143
13,five,CD,ATCC,87,22,3.346153846,0.846153846
14,five,CD,ATCC,,,,
15,five,CD,ATCC,90,22,3.214285714,0.785714286
16,five,CD,ATCC,84,24,3.36,0.96
29,five,CD,ATCC,75,26,3.125,1.083333333
30,five,CD,ATCC,,,,
31,five,CD,ATCC,84,25,2.896551724,0.862068966
32,five,CD,ATCC,72,24,3,1
45,five,CD,ATCC,84,22,3.230769231,0.846153846
46,five,CD,ATCC,96,25,3.428571429,0.892857143
47,five,CD,ATCC,135,24,5.4,0.96
48,five,CD,ATCC,96,28,3.096774194,0.903225806
1,six,WD,BBS,121.5,20,3.471428571,0.571428571
2,six,WD,BBS,85.5,21,2.85,0.7
3,six,WD,BBS,94.5,40,3.9375,1.666666667
4,six,WD,BBS,94.5,16,3.634615385,0.615384615
17,six,WD,BBS,85.5,,2.671875,0
18,six,WD,BBS,94.5,11,2.863636364,0.333333333
19,six,WD,BBS,103.5,9,2.875,0.25
20,six,WD,BBS,94.5,11,3.5,0.407407407
33,six,WD,BBS,108,20,3.483870968,0.64516129
34,six,WD,BBS,90,21,3,0.7
35,six,WD,BBS,103.5,17,3.234375,0.53125
36,six,WD,BBS,103.5,18,3.044117647,0.529411765
5,six,CD,BBS,90,21,3.214285714,0.75
6,six,CD,BBS,102,26,3.642857143,0.928571429
7,six,CD,BBS,147,25,5.25,0.892857143
8,six,CD,BBS,144,25,5.142857143,0.892857143
21,six,CD,BBS,96,17,3.84,0.68
22,six,CD,BBS,111,14,4.111111111,0.518518519
23,six,CD,BBS,96,13,3.428571429,0.464285714
24,six,CD,BBS,117,15,4.178571429,0.535714286
37,six,CD,BBS,90,27,3.333333333,1
38,six,CD,BBS,96,30,3.2,1
39,six,CD,BBS,99,24,3.666666667,0.888888889
40,six,CD,BBS,84,23,3.230769231,0.884615385
9,six,WD,ATCC,94.5,18,3.5,0.666666667
10,six,WD,ATCC,117,22,3.441176471,0.647058824
11,six,WD,ATCC,99,20,3.413793103,0.689655172
12,six,WD,ATCC,90,16,2.5,0.444444444
25,six,WD,ATCC,85.5,14,2.85,0.466666667
26,six,WD,ATCC,90,11,3.461538462,0.423076923
27,six,WD,ATCC,81,10,3.52173913,0.434782609
28,six,WD,ATCC,94.5,11,3.25862069,0.379310345
41,six,WD,ATCC,90,21,3.75,0.875
42,six,WD,ATCC,81,22,3.375,0.916666667
43,six,WD,ATCC,90,21,2.903225806,0.677419355
44,six,WD,ATCC,94.5,18,3.25862069,0.620689655
13,six,CD,ATCC,96,26,3.555555556,0.962962963
14,six,CD,ATCC,,,,
15,six,CD,ATCC,99,24,3.3,0.8
16,six,CD,ATCC,156,32,5.571428571,1.142857143
29,six,CD,ATCC,93,9,3.72,0.36
30,six,CD,ATCC,,,,
31,six,CD,ATCC,102,14,3.642857143,0.5
32,six,CD,ATCC,111,13,4.44,0.52
45,six,CD,ATCC,105,23,4.038461538,0.884615385
46,six,CD,ATCC,96,23,3.310344828,0.793103448
47,six,CD,ATCC,87,24,3.222222222,0.888888889
48,six,CD,ATCC,93,29,3.1,0.966666667
1,seven,WD,BBS,99,19,2.75,0.527777778
2,seven,WD,BBS,94.5,19,2.953125,0.59375
3,seven,WD,BBS,85.5,32,3.166666667,1.185185185
4,seven,WD,BBS,76.5,17,2.732142857,0.607142857
17,seven,WD,BBS,94.5,19,2.7,0.542857143
18,seven,WD,BBS,90,17,2.647058824,0.5
19,seven,WD,BBS,108,16,2.842105263,0.421052632
20,seven,WD,BBS,108,20,3.6,0.666666667
33,seven,WD,BBS,108,12,3.375,0.375
34,seven,WD,BBS,94.5,12,3.048387097,0.387096774
35,seven,WD,BBS,94.5,10,2.863636364,0.303030303
36,seven,WD,BBS,85.5,14,2.375,0.388888889
5,seven,CD,BBS,87,22,3.107142857,0.785714286
6,seven,CD,BBS,96,25,3.2,0.833333333
7,seven,CD,BBS,153,27,5.275862069,0.931034483
8,seven,CD,BBS,81,22,2.793103448,0.75862069
21,seven,CD,BBS,84,24,3.230769231,0.923076923
22,seven,CD,BBS,108,29,3.857142857,1.035714286
23,seven,CD,BBS,96,25,3.2,0.833333333
24,seven,CD,BBS,99,24,3.3,0.8
37,seven,CD,BBS,87,15,3.222222222,0.555555556
38,seven,CD,BBS,96,19,3,0.59375
39,seven,CD,BBS,99,16,3.413793103,0.551724138
40,seven,CD,BBS,75,12,3,0.48
9,seven,WD,ATCC,76.5,17,2.732142857,0.607142857
10,seven,WD,ATCC,99,20,2.911764706,0.588235294
11,seven,WD,ATCC,94.5,20,3.15,0.666666667
12,seven,WD,ATCC,108,18,2.769230769,0.461538462
25,seven,WD,ATCC,81,20,2.53125,0.625
26,seven,WD,ATCC,85.5,17,3.053571429,0.607142857
27,seven,WD,ATCC,76.5,18,3.1875,0.75
28,seven,WD,ATCC,85.5,16,2.758064516,0.516129032
41,seven,WD,ATCC,85.5,11,3.42,0.44
42,seven,WD,ATCC,81,11,3.375,0.458333333
43,seven,WD,ATCC,94.5,11,3.048387097,0.35483871
44,seven,WD,ATCC,85.5,9,2.85,0.3
13,seven,CD,ATCC,108,26,3.857142857,0.928571429
14,seven,CD,ATCC,,,,
15,seven,CD,ATCC,78,21,2.6,0.7
16,seven,CD,ATCC,180,30,6.206896552,1.034482759
29,seven,CD,ATCC,81,26,3.24,1.04
30,seven,CD,ATCC,,,,
31,seven,CD,ATCC,87,22,3,0.75862069
32,seven,CD,ATCC,72,22,2.769230769,0.846153846
45,seven,CD,ATCC,120,12,4.444444444,0.444444444
46,seven,CD,ATCC,117,13,3.774193548,0.419354839
47,seven,CD,ATCC,99,13,3.666666667,0.481481481
48,seven,CD,ATCC,108,17,3.483870968,0.548387097
1,eight,WD,BBS,108,21,2.918918919,0.567567568
2,eight,WD,BBS,94.5,19,2.7,0.542857143
3,eight,WD,BBS,90,28,3.103448276,0.965517241
4,eight,WD,BBS,90,18,3.103448276,0.620689655
17,eight,WD,BBS,90,19,2.432432432,0.513513514
18,eight,WD,BBS,94.5,16,2.554054054,0.432432432
19,eight,WD,BBS,108,13,2.769230769,0.333333333
20,eight,WD,BBS,117,18,3.545454545,0.545454545
33,eight,WD,BBS,99,16,2.911764706,0.470588235
34,eight,WD,BBS,81,19,2.53125,0.59375
35,eight,WD,BBS,108,18,3,0.5
