Time,Combo,Weight,Treatment,Diet,Mouse
63,BBS/CD,28,BBS,CD,37
63,BBS/CD,33,BBS,CD,38
63,BBS/CD,30,BBS,CD,39
63,BBS/CD,28,BBS,CD,40
63,MV/WD,28,MV,WD,9
63,MV/WD,37,MV,WD,10
63,MV/WD,29,MV,WD,11
63,MV/WD,40,MV,WD,12
63,MV/WD,31,MV,WD,25
63,MV/WD,31,MV,WD,26
63,MV/WD,24,MV,WD,27
63,MV/WD,32,MV,WD,28
63,MV/WD,25,MV,WD,41
63,MV/WD,25,MV,WD,42
63,MV/WD,33,MV,WD,43
63,MV/WD,34,MV,WD,44
63,MV/CD,28,MV,CD,13
63,MV/CD,,MV,CD,14
63,MV/CD,28,MV,CD,15
63,MV/CD,29,MV,CD,16
63,MV/CD,27,MV,CD,29
63,MV/CD,,MV,CD,30
63,MV/CD,32,MV,CD,31
63,MV/CD,27,MV,CD,32
63,MV/CD,28,MV,CD,45
63,MV/CD,32,MV,CD,46
63,MV/CD,28,MV,CD,47
63,MV/CD,32,MV,CD,48
70,BBS/WD,40,BBS,WD,1
70,BBS/WD,35,BBS,WD,2
70,BBS/WD,29,BBS,WD,3
70,BBS/WD,31,BBS,WD,4
70,BBS/WD,37,BBS,WD,17
70,BBS/WD,37,BBS,WD,18
70,BBS/WD,41,BBS,WD,19
70,BBS/WD,35,BBS,WD,20
70,BBS/WD,36,BBS,WD,33
70,BBS/WD,34,BBS,WD,34
70,BBS/WD,37,BBS,WD,35
70,BBS/WD,40,BBS,WD,36
70,BBS/CD,32,BBS,CD,5
70,BBS/CD,31,BBS,CD,6
70,BBS/CD,31,BBS,CD,7
70,BBS/CD,32,BBS,CD,8
70,BBS/CD,29,BBS,CD,21
70,BBS/CD,31,BBS,CD,22
70,BBS/CD,32,BBS,CD,23
70,BBS/CD,33,BBS,CD,24
70,BBS/CD,29,BBS,CD,37
70,BBS/CD,34,BBS,CD,38
70,BBS/CD,30,BBS,CD,39
70,BBS/CD,28,BBS,CD,40
70,MV/WD,,MV,WD,9
70,MV/WD,37,MV,WD,10
70,MV/WD,30,MV,WD,11
70,MV/WD,41,MV,WD,12
70,MV/WD,30,MV,WD,25
70,MV/WD,30,MV,WD,26
70,MV/WD,24,MV,WD,27
70,MV/WD,33,MV,WD,28
70,MV/WD,26,MV,WD,41
70,MV/WD,25,MV,WD,42
70,MV/WD,34,MV,WD,43
70,MV/WD,35,MV,WD,44
70,MV/CD,29,MV,CD,13
70,MV/CD,,MV,CD,14
70,MV/CD,29,MV,CD,15
70,MV/CD,29,MV,CD,16
70,MV/CD,28,MV,CD,29
70,MV/CD,,MV,CD,30
70,MV/CD,31,MV,CD,31
70,MV/CD,26,MV,CD,32
70,MV/CD,28,MV,CD,45
70,MV/CD,32,MV,CD,46
70,MV/CD,28,MV,CD,47
70,MV/CD,31,MV,CD,48
