"SampleID","Plate","Timepoint","Cohort","Mouse","Treatment","Diet","Weight_group","Shannon","Faith","Evenness"
"3-1-3","2","3","1","3","BBS","WD","Low",4.64246108315099,28.6336981516899,0.71871046204068
"3-1-4","2","4","1","3","BBS","WD","Low",5.12534864840323,29.9313405014332,0.761802801180113
"19-2-1","2","1","2","19","BBS","WD","High",4.25208044246081,37.2182622850017,0.62581986827147
"19-2-2","2","2","2","19","BBS","WD","High",4.77250102037215,34.0002160479179,0.706525611099165
"19-2-3","2","3","2","19","BBS","WD","High",5.02214462211516,31.8688654793211,0.737752721815944
"19-2-4","2","4","2","19","BBS","WD","High",4.40010950739234,28.6991825370811,0.684707162768665
"44-3-1","2","1","3","44","ATCC","WD","Medium",4.1725880643927,32.343937486388,0.63365403583327
"44-3-2","2","2","3","44","ATCC","WD","Medium",5.06642344518508,32.1433644720886,0.744257278075592
"44-3-3","2","3","3","44","ATCC","WD","Medium",4.72628400157065,29.0940407897494,0.717738939447726
"44-3-4","2","4","3","44","ATCC","WD","Medium",5.14071724124781,33.4797928765914,0.755171031936435
"33-3-1","2","1","3","33","BBS","WD","High",3.33517477813506,27.2802372261103,0.542327141803464
"33-3-2","2","2","3","33","BBS","WD","High",4.79205878003497,28.5142737609991,0.734577032043917
"33-3-3","2","3","3","33","BBS","WD","High",4.5281820011699,28.7608725335305,0.708378777473394
"33-3-4","2","4","3","33","BBS","WD","High",5.18673041257721,32.1746412881026,0.780680716804179
"11-1-1","2","1","1","11","ATCC","WD","Low",3.96724307311311,20.8930792273812,0.686212806276751
"11-1-2","2","2","1","11","ATCC","WD","Low",5.04778936997392,30.0575025977615,0.761429752426458
"11-1-3","2","3","1","11","ATCC","WD","Low",5.14047228807487,25.8161781412277,0.808561579101651
"11-1-4","2","4","1","11","ATCC","WD","Low",4.96064177935436,29.3370428974266,0.753328781874019
"25-2-1","2","1","2","25","ATCC","WD","Medium",4.09712150134588,25.2619143372112,0.670721960816514
"25-2-2","2","2","2","25","ATCC","WD","Medium",5.01871324043926,29.4854208369451,0.762147580929979
"25-2-3","2","3","2","25","ATCC","WD","Medium",4.8865817098032,27.827398275525,0.76240968268162
"25-2-4","2","4","2","25","ATCC","WD","Medium",4.95441082005115,28.3817903511888,0.772992452702015
"41-3-1","2","1","3","41","ATCC","WD","Low",4.00805600108414,31.8743477061779,0.618934680343382
"41-3-2","2","2","3","41","ATCC","WD","Low",4.97023095669619,33.824223348248,0.717128743252001
"41-3-3","2","3","3","41","ATCC","WD","Low",5.03948803497826,33.5031521844034,0.741710271215032
"41-3-4","2","4","3","41","ATCC","WD","Low",4.86576152355361,33.5561732046354,0.71343604770021
"20-2-1","2","1","2","20","BBS","WD","High",3.65083117538017,18.1079833299143,0.668720011606525
"20-2-2","2","2","2","20","BBS","WD","High",4.2924321562507,29.675089935404,0.651853697842715
"20-2-3","2","3","2","20","BBS","WD","High",4.90743670578944,27.6277956299197,0.750469111937334
"20-2-4","2","4","2","20","BBS","WD","High",5.0769933253312,27.9913527204592,0.770998061837891
"28-2-1","2","1","2","28","ATCC","WD","Medium",3.78394020710488,25.8594111977918,0.619452411769609
"28-2-2","2","2","2","28","ATCC","WD","Medium",4.52273804069723,27.9161776341985,0.698413251396342
"28-2-3","2","3","2","28","ATCC","WD","Medium",5.04560936476806,28.1661522283584,0.777221740834018
"28-2-4","2","4","2","28","ATCC","WD","Medium",4.98921628425096,29.669054600071,0.76853499458756
"26-2-1","3","1","2","26","ATCC","WD","Medium",3.93759521793671,41.1625839676689,0.558968614080797
"26-2-2","3","2","2","26","ATCC","WD","Medium",5.44709677600519,39.4337796415251,0.752527244906878
"26-2-3","3","3","2","26","ATCC","WD","Medium",5.05972445923271,33.6941705602635,0.730041294713371
"26-2-4","3","4","2","26","ATCC","WD","Medium",4.97907772443027,33.2647141187362,0.723425243575857
"4-1-1","3","1","1","4","BBS","WD","Medium",3.94568253882565,23.266993049953,0.660113394273713
